"","x"
"1","turquoise"
"2","grey"
"3","turquoise"
"4","turquoise"
"5","turquoise"
"6","grey"
"7","grey"
"8","turquoise"
"9","turquoise"
"10","turquoise"
"11","grey"
"12","turquoise"
"13","turquoise"
"14","turquoise"
"15","turquoise"
"16","turquoise"
"17","turquoise"
"18","grey"
"19","grey"
"20","grey"
"21","grey"
"22","turquoise"
"23","turquoise"
"24","turquoise"
"25","grey"
"26","grey"
"27","turquoise"
"28","turquoise"
"29","turquoise"
"30","turquoise"
"31","grey"
"32","turquoise"
"33","grey"
"34","grey"
"35","turquoise"
"36","turquoise"
"37","turquoise"
"38","turquoise"
"39","turquoise"
"40","turquoise"
"41","turquoise"
"42","turquoise"
"43","turquoise"
"44","grey"
"45","turquoise"
"46","turquoise"
"47","turquoise"
"48","turquoise"
"49","turquoise"
"50","grey"
"51","turquoise"
"52","turquoise"
"53","turquoise"
"54","grey"
"55","grey"
"56","turquoise"
"57","turquoise"
"58","turquoise"
"59","turquoise"
"60","turquoise"
"61","grey"
"62","grey"
"63","turquoise"
"64","turquoise"
"65","grey"
"66","grey"
"67","grey"
"68","turquoise"
"69","grey"
"70","turquoise"
"71","turquoise"
"72","turquoise"
"73","grey"
"74","turquoise"
"75","turquoise"
"76","turquoise"
"77","grey"
"78","turquoise"
"79","grey"
"80","grey"
"81","turquoise"
"82","grey"
"83","grey"
"84","turquoise"
"85","turquoise"
"86","turquoise"
"87","grey"
"88","turquoise"
"89","turquoise"
"90","turquoise"
"91","turquoise"
"92","turquoise"
"93","turquoise"
"94","turquoise"
"95","turquoise"
"96","turquoise"
"97","grey"
"98","turquoise"
"99","turquoise"
"100","grey"
"101","grey"
"102","grey"
"103","grey"
"104","turquoise"
"105","turquoise"
"106","grey"
"107","grey"
"108","grey"
"109","turquoise"
"110","turquoise"
"111","turquoise"
"112","grey"
"113","grey"
"114","turquoise"
"115","turquoise"
"116","turquoise"
"117","grey"
"118","turquoise"
"119","turquoise"
"120","turquoise"
"121","turquoise"
"122","grey"
"123","grey"
"124","turquoise"
"125","grey"
"126","turquoise"
"127","turquoise"
"128","turquoise"
"129","turquoise"
"130","turquoise"
"131","grey"
"132","turquoise"
"133","turquoise"
"134","turquoise"
"135","grey"
"136","grey"
"137","turquoise"
"138","turquoise"
"139","grey"
"140","turquoise"
"141","turquoise"
"142","turquoise"
"143","turquoise"
"144","turquoise"
"145","turquoise"
"146","turquoise"
"147","turquoise"
